Name,Year,Watched Date,Rating,Is_Rewatch,Is_Liked,Has_Review,Film_URL
Jerry Maguire,1996,Nov 2024 23,3.5,No,No,No,/film/jerry-maguire/
Gladiator II,2024,Nov 2024 23,3.0,No,No,No,/film/gladiator-ii/
Psych 3: This Is Gus,2021,Nov 2024 09,3.0,No,No,No,/film/psych-3-this-is-gus/
Psych 2: Lassie Come Home,2020,Nov 2024 09,3.5,No,No,No,/film/psych-2-lassie-come-home/
Inglourious Basterds,2009,Nov 2024 02,4.0,No,No,Yes,/film/inglourious-basterds/
Primal Fear,1996,Nov 2024 02,4.0,No,No,Yes,/film/primal-fear/
Exhuma,2024,Oct 2024 31,3.0,No,No,Yes,/film/exhuma/
Psych: The Movie,2017,Oct 2024 28,3.5,No,No,Yes,/film/psych-the-movie/
Transformers One,2024,Oct 2024 27,4.0,No,No,Yes,/film/transformers-one/
Bridget Jones's Diary,2001,Oct 2024 20,3.0,No,No,Yes,/film/bridget-joness-diary/
The Substance,2024,Oct 2024 19,4.5,No,No,Yes,/film/the-substance/
The Boy and the Heron,2023,Oct 2024 19,2.5,No,No,No,/film/the-boy-and-the-heron/
The Wild Robot,2024,Oct 2024 19,5.0,No,Yes,Yes,/film/the-wild-robot/
It's What's Inside,2024,Oct 2024 18,4.0,No,No,Yes,/film/its-whats-inside/
Red Eye,2005,Sep 2024 23,3.0,No,No,No,/film/red-eye/
Incantation,2022,Sep 2024 20,3.5,No,No,Yes,/film/incantation-2022/
A Tale of Two Sisters,2003,Sep 2024 01,4.0,No,No,Yes,/film/a-tale-of-two-sisters/
How to Lose a Guy in 10 Days,2003,Aug 2024 30,4.0,No,Yes,Yes,/film/how-to-lose-a-guy-in-10-days/
The Intern,2015,Aug 2024 30,2.5,No,No,Yes,/film/the-intern-2015/
Ricky Stanicky,2024,Aug 2024 23,3.0,No,No,Yes,/film/ricky-stanicky/
Inside Out 2,2024,Aug 2024 22,3.5,No,No,Yes,/film/inside-out-2-2024/
The Garfield Movie,2024,Aug 2024 18,3.5,No,No,Yes,/film/the-garfield-movie/
The Union,2024,Aug 2024 17,3.0,No,No,No,/film/the-union-2024/
Vivarium,2019,Aug 2024 15,1.5,No,No,No,/film/vivarium/
Run,2020,Aug 2024 14,3.0,No,No,Yes,/film/run-2020/
Clueless,1995,Aug 2024 12,3.0,No,No,Yes,/film/clueless/
I Care a Lot,2020,Aug 2024 12,3.0,No,No,No,/film/i-care-a-lot/
Oldboy,2003,Aug 2024 11,4.5,No,No,Yes,/film/oldboy/
The Spectacular Now,2013,Aug 2024 11,3.5,No,No,Yes,/film/the-spectacular-now/
It Ends with Us,2024,Aug 2024 10,3.0,Yes,No,No,/film/it-ends-with-us/
Borderlands,2024,Aug 2024 09,2.5,No,No,No,/film/borderlands-2024/
It Ends with Us,2024,Aug 2024 08,2.5,No,No,Yes,/film/it-ends-with-us/
The Ministry of Ungentlemanly Warfare,2024,Aug 2024 04,3.5,No,No,No,/film/the-ministry-of-ungentlemanly-warfare/
The Girl with the Dragon Tattoo,2011,Aug 2024 01,4.0,No,No,Yes,/film/the-girl-with-the-dragon-tattoo-2011/
Tarot,2024,Jul 2024 28,2.5,No,No,Yes,/film/tarot-2024/
Challengers,2024,Jul 2024 28,3.5,No,No,Yes,/film/challengers/
The Bone Collector,1999,Jul 2024 28,3.0,No,No,No,/film/the-bone-collector/
Deadpool & Wolverine,2024,Jul 2024 26,3.5,No,No,Yes,/film/deadpool-wolverine/
Longlegs,2024,Jul 2024 24,3.0,No,No,Yes,/film/longlegs/
Ghostbusters: Frozen Empire,2024,Jul 2024 20,2.5,No,No,Yes,/film/ghostbusters-frozen-empire/
I Saw the TV Glow,2024,Jul 2024 20,4.0,No,No,Yes,/film/i-saw-the-tv-glow/
Twisters,2024,Jul 2024 18,3.5,No,No,Yes,/film/twisters/
A Family Affair,2024,Jul 2024 10,1.5,No,No,Yes,/film/a-family-affair-2024-1/
Hit Man,2023,Jul 2024 08,3.5,No,No,Yes,/film/hit-man-2023/
Rush,2013,Jul 2024 08,4.0,No,No,Yes,/film/rush-2013/
Before Midnight,2013,Jul 2024 06,3.5,No,No,No,/film/before-midnight/
Before Sunset,2004,Jul 2024 06,5.0,No,No,No,/film/before-sunset/
Before Sunrise,1995,Jul 2024 06,4.0,No,No,No,/film/before-sunrise/
Rebel Moon – Part Two: The Scargiver,2024,May 2024 26,1.0,No,No,Yes,/film/rebel-moon-part-two-the-scargiver/
Source Code,2011,May 2024 25,2.5,No,No,Yes,/film/source-code/
Furiosa: A Mad Max Saga,2024,May 2024 25,4.0,No,No,Yes,/film/furiosa-a-mad-max-saga/
Disturbia,2007,May 2024 24,3.0,No,No,No,/film/disturbia/
Vanilla Sky,2001,May 2024 23,3.5,No,No,No,/film/vanilla-sky/
Before I Fall,2017,May 2024 23,4.0,No,No,No,/film/before-i-fall/
The Lion King,2019,May 2024 19,3.0,No,No,Yes,/film/the-lion-king-2019/
Absolutely Anything,2015,May 2024 18,1.5,No,No,No,/film/absolutely-anything/
Godzilla Minus One,2023,May 2024 03,2.5,No,No,No,/film/godzilla-minus-one/
Abigail,2024,Apr 2024 26,3.0,No,No,No,/film/abigail-2024/
Immaculate,2024,Apr 2024 17,2.0,No,No,No,/film/immaculate-2024/
Kung Fu Panda 4,2024,Mar 2024 19,3.0,No,No,Yes,/film/kung-fu-panda-4/
The Great Gatsby,2013,Mar 2024 13,3.5,No,No,No,/film/the-great-gatsby-2013/
The Witch,2015,Mar 2024 12,4.0,No,No,Yes,/film/the-witch-2015/
No Country for Old Men,2007,Mar 2024 11,3.5,No,No,No,/film/no-country-for-old-men/
Dune: Part Two,2024,Feb 2024 29,4.5,No,No,No,/film/dune-part-two/
Dune,2021,Feb 2024 29,4.0,Yes,No,Yes,/film/dune-2021/
EuroTrip,2004,Feb 2024 28,3.0,No,No,Yes,/film/eurotrip/
Poor Things,2023,Feb 2024 28,3.5,No,No,Yes,/film/poor-things-2023/
Lake Mungo,2008,Feb 2024 25,4.0,No,No,Yes,/film/lake-mungo/
The Poughkeepsie Tapes,2007,Feb 2024 24,3.0,No,No,Yes,/film/the-poughkeepsie-tapes/
Happy Death Day,2017,Feb 2024 24,1.5,No,No,Yes,/film/happy-death-day/
Mean Girls,2024,Feb 2024 22,3.0,No,No,Yes,/film/mean-girls-2024/
The Grand Budapest Hotel,2014,Feb 2024 21,3.5,No,No,Yes,/film/the-grand-budapest-hotel/
Snowden,2016,Feb 2024 21,3.0,No,No,Yes,/film/snowden/
