Title,Year,Rating,Film_ID,Slug,Poster_URL,Film_URL,Has_Review,Movie_ID
The Killer,2023,3.0,717654,the-killer-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-killer-2023/,Yes,717654
Maestro,2023,3.0,453069,maestro-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/maestro-2023/,Yes,453069
Poor Things,2023,3.5,710352,poor-things-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/poor-things-2023/,Yes,710352
Saltburn,2023,3.5,835774,saltburn,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/saltburn/,Yes,835774
You Are So Not Invited to My Bat Mitzvah,2023,2.0,900356,you-are-so-not-invited-to-my-bat-mitzvah,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/you-are-so-not-invited-to-my-bat-mitzvah/,Yes,900356
Blue Beetle,2023,3.5,494248,blue-beetle,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/blue-beetle/,No,494248
Gran Turismo,2023,3.5,882718,gran-turismo,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/gran-turismo/,No,882718
The Boy and the Heron,2023,2.5,438692,the-boy-and-the-heron,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-boy-and-the-heron/,No,438692
Oppenheimer,2023,4.0,784328,oppenheimer-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/oppenheimer-2023/,No,784328
Insidious: The Red Door,2023,3.0,541511,insidious-the-red-door,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/insidious-the-red-door/,No,541511
Mission: Impossible – Dead Reckoning,2023,3.5,503402,mission-impossible-dead-reckoning,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/mission-impossible-dead-reckoning/,No,503402
Nimona,2023,3.5,865112,nimona-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/nimona-2023/,Yes,865112
No Hard Feelings,2023,3.0,795897,no-hard-feelings-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/no-hard-feelings-2023/,No,795897
The Flash,2023,3.0,225845,the-flash,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-flash/,No,225845
My Fault,2023,3.0,910503,my-fault,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/my-fault/,No,910503
Spider-Man: Across the Spider-Verse,2023,4.0,497631,spider-man-across-the-spider-verse,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/spider-man-across-the-spider-verse/,No,497631
Transformers: Rise of the Beasts,2023,2.0,592318,transformers-rise-of-the-beasts,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/transformers-rise-of-the-beasts/,No,592318
Elemental,2023,2.5,878854,elemental-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/elemental-2023/,No,878854
Anatomy of a Fall,2023,3.5,822093,anatomy-of-a-fall,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/anatomy-of-a-fall/,Yes,822093
May December,2023,4.0,754441,may-december,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/may-december/,No,754441
Killers of the Flower Moon,2023,3.0,398009,killers-of-the-flower-moon,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/killers-of-the-flower-moon/,No,398009
Indiana Jones and the Dial of Destiny,2023,2.0,265433,indiana-jones-and-the-dial-of-destiny,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/indiana-jones-and-the-dial-of-destiny/,No,265433
Monster,2023,4.0,947030,monster-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/monster-2023/,Yes,947030
Fast X,2023,2.0,320481,fast-x,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/fast-x/,No,320481
Guardians of the Galaxy Vol. 3,2023,0.5,379711,guardians-of-the-galaxy-vol-3,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/guardians-of-the-galaxy-vol-3/,No,379711
Ghosted,2023,3.0,780724,ghosted-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/ghosted-2023/,No,780724
